"ISSN" "titulo" "estrato" "ISSN2"
"213" "1557-4970" "AMERICAN JOURNAL OF PHARMACOLOGY AND TOXICOLOGY" "C" "15574970"
"214" "0002-9483" "AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY" "A2" "00029483"
"215" "2321-2748" "AMERICAN JOURNAL OF PHYTOMEDICINE AND CLINICAL THERAPEUTICS" "C" "23212748"
"216" "2158-2750" "AMERICAN JOURNAL OF PLANT SCIENCES" "C" "21582750"
"217" "2158-2750" "AMERICAN JOURNAL OF PLANT SCIENCES" "C" "21582750"
"218" "1099-209X" "AMERICAN JOURNAL OF POTATO RESEARCH" "B2" "1099209X"
"219" "0275-2565" "AMERICAN JOURNAL OF PRIMATOLOGY" "A2" "02752565"
"220" "0275-2565" "AMERICAN JOURNAL OF PRIMATOLOGY (PRINT)" "A2" "02752565"
"221" "1046-7408" "AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY (PRINT)" "B1" "10467408"
"222" "0740-2783" "AMERICAN MALACOLOGICAL BULLETIN" "B1" "07402783"
"223" "0003-0082" "AMERICAN MUSEUM NOVITATES" "B1" "00030082"
"224" "2151-0032" "AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS. TRANSACTIONS" "C" "21510032"
"225" "1818-6769" "AMERICAN-EURASIAN JOURNAL OF AGRICULTURAL & ENVIRONMENTAL SCIENCES" "C" "18186769"
"226" "1438-2199" "AMINO ACIDS (WIEN. INTERNET)" "B1" "14382199"
"227" "0939-4451" "AMINO ACIDS (WIEN. PRINT)" "B1" "09394451"
"228" "1083-446X" "AMPHIBIAN & REPTILE CONSERVATION" "C" "1083446X"
"229" "0173-5373" "AMPHIBIA-REPTILIA" "A2" "01735373"
"230" "0365-0596" "ANAIS BRASILEIROS DE DERMATOLOGIA (IMPRESSO)" "B3" "03650596"
"231" "1806-4841" "ANAIS BRASILEIROS DE DERMATOLOGIA (ONLINE)" "B3" "18064841"
"232" "0001-3765" "ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS" "B2" "00013765"
"233" "0001-3765" "ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)" "B2" "00013765"
"234" "1678-2690" "ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)" "B2" "16782690"
"235" "1980-0258" "ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA" "C" "19800258"
"236" "0303-7762" "ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL" "B5" "03037762"
"237" "2318-2148" "ANAIS USO PÚBLICO EM UNIDADES DE CONSERVAÇO" "C" "23182148"
